text,rating,sentiment_score,prediction,label,meta_main_category
Makes me wanna love again,5.0,0.5,1.0,1,Toys & Games
Great cards! Love them,5.0,0.75,1.0,1,Toys & Games
"I have the original deck.. this one is updated, smaller, better quality and easier to shuffle.",5.0,0.29166666,1.0,1,Toys & Games
This was a deck I’ve had my eye on for a while and I finally got it about two weeks or so ago! And I love it!! These cards are beautiful and spot on! I do want to tell everyone that the instruction guide does offer insights on each card but I’d best advise to go with your intuition.<br />But I give Amira a lot of credit for this gorgeous deck!! Would recommend 100%!,5.0,0.75625,1.0,1,Toys & Games
I’ve been wanting these cards since seeing Tyler’s Tarot use them in his videos. I’m so happy to finally get my hands on them and so far I’m pleased with my purchase. Not really a fan of the artwork but the overall energy of the deck is great and I plan to use them consistently for my own collective General readings.,5.0,0.3,1.0,1,Toys & Games
Love this purchase...lots of fun!,5.0,0.4375,1.0,1,Toys & Games
My little girl loves to put these on her arms and shirt. She has them everywhere. She even puts them on her 1 yr old sister.,5.0,-0.04375,0.0,1,Toys & Games
So so cute and there are so many! :) would buy again,5.0,0.5416667,1.0,1,Toys & Games
Cutest stickers Ive seen in a long time and I look at stickers every weekend (my passion). Good adhesive power on smooth paper and bright colors. Cannot stay put on textured paper. Only 1 ugly design out of 18. Kinda $$$ but pretty enough to justify price,5.0,0.1625,1.0,1,Toys & Games
I was able to divid these into about 5 stickers each for 24 goodie bags for my daughters 80's party. They seem to come off the sheet easy and are kind of small. But they work for what i needed. The box feeds them out as to peel them off the sheet.,5.0,0.32083333,1.0,1,Toys & Games
Great little box of colorful 80's stickers for a work project I have going on. They are small stickers so don't be surprised how small the box is when it comes in. See attached photos for reference,5.0,0.08541667,1.0,1,Toys & Games
Great for traveling with kids. The magnet's make it very giftable because the pieces are less likely flying around and getting lost. The sturdiness of it makes nice for multiple uses and endless fun.,3.0,0.20104167,1.0,0,Toys & Games
Heavy duty and cute,4.0,0.15,1.0,0,Toys & Games
Awesome,5.0,1.0,1.0,1,Toys & Games
Daughter loves this. Easy and on the go.,5.0,0.43333334,1.0,1,Toys & Games
"Great for occupying kids on the go, doctors  office, restaurants, and waiting for just about anything lol",5.0,0.8,1.0,1,Toys & Games
Great gift for any unicorn loving kid. I like how the pieces are magnetic and stay in place. My 5 year old did these with ease. Even though it is a cute gift I would defiantly recommend something more challenging if your kid is a puzzle lover and looking for a challenge.,5.0,0.5,1.0,1,Toys & Games
I purchased this for my 4 year old great granddaughter and she absolutely loves it. She plays with this more than her other puzzles. It’s great for keeping all the pieces together.,5.0,0.37916666,1.0,1,Toys & Games
My daughter LOVES it! I wish it had 3 puzzles but it really is a wonderful on the go product.,5.0,1.0,1.0,1,Toys & Games
My daughter loves this puzzle and the magnets make it great for travel!,5.0,1.0,1.0,1,Toys & Games
My granddaughter loves the fact she doesn’t lose pieces due to the magnetic board!,5.0,-0.15625,0.0,1,Toys & Games
Nice<br />My little girl love it,5.0,0.15625,1.0,1,Toys & Games
"Nieces loved! Great quality puzzles, thick, sturdy comes in foldable book and full size photo. Nieces kept the book after using puzzles and turned into a memory book.",5.0,0.43125,1.0,1,Toys & Games
Really good quality and bright colors. Easy to store as well.,5.0,0.6111111,1.0,1,Toys & Games
This magnet is very strong. Pieces do not fall off when placed. Great for travel.,5.0,0.6816667,1.0,1,Toys & Games
nice product quick ship,5.0,0.46666667,1.0,1,Toys & Games
"Loved the design and the fact that is magnetized, but highly disappointed. My daughter loves these puzzles, but the paper comes off easily just trying to take the puzzles apart.",2.0,0.12777779,1.0,0,Toys & Games
Grandma sent these for my little one and we absolutely love them! The easier way to learn how to do puzzles. My 4yo can do these multiple times and not get tired of them. So grateful to have received these as a gift!,5.0,-0.015625,0.0,1,Toys & Games
"I was super excited about this but the paper started coming apart almost immediately on several of the pieces. I bought 2 puzzles and this was the case with both. Also, only 1 of the pictures is magnetic so for younger kids who want to build the puzzle on top of the pictures instead of next to it they can only do that with one of them.",2.0,0.15104167,1.0,0,Toys & Games
Love this puzzle! It was a lot of fun to do because of the subtleties of color in Lewitt’s work.,5.0,0.4625,1.0,1,Toys & Games
My wife loved it. Very good quality.,5.0,0.805,1.0,1,Toys & Games
"I really enjoyed this puzzle. The colors were very pretty and vibrant. After I finished, I was able to pick the puzzle up and flip it over to see the image on the other side.  That’s how well the pieces held together.  However...I must say that I was not as impressed with the image on the back. Let’s just say that I will only be putting this puzzle together with the color side up.  This was still a good buy for the price.  I will buy more puzzles from this company.",5.0,0.35666665,1.0,1,Toys & Games
"I was a little intimidated to order a double-sided puzzle, but this is awesome! One side is glossy and the other is matte, and it's very easy to distinguish between the two. The colors differentiate just enough to be challenging but not impossible.<br /><br />I'll admit that while working on the black and white side, I'd flip a piece over to see about where it fit on the color side as a small cheat. I was able to do both sides on a lazy Saturday, enough to occupy your mind without pulling your hair out!<br /><br />I would love to pass it on, but I will definitely be doing this puzzle again before I do!",5.0,0.16561112,1.0,1,Toys & Games
Para regalar,4.0,0.0,0.0,0,Toys & Games
"Working on this puzzle with my girls and it truly is a beautiful puzzle.  We were surprised at how much better we liked it in person, the gold is really beautiful.",5.0,0.58,1.0,1,Toys & Games
"I have been doing a lot of puzzles, specially now with the pandemic. I love this one because of the great quality of the print and also the thickness of the pieces. I love there is a print of the final product so two people can work at the same time. With 1K puzzle, an extra print is priceless.",5.0,0.39464286,1.0,1,Toys & Games
"Best made, most creative and fabulous puzzles!",5.0,0.625,1.0,1,Toys & Games
I love the puzzles created by this manufacture. They are challenging yet enjoyable with oddly shaped pieces that add to the challenge!,5.0,0.32291666,1.0,1,Toys & Games
"It was indeed delightful - a family member and I worked on it during stormy times being shut up in the house.<br /><br />I have ordered several  Galison puzzles to see us through the winter.  When people would stop by, they would take some time to work on it too.",5.0,0.5,1.0,1,Toys & Games
"My 94 year old mother always has a 500 piece puzzle out she's working on.  She loves Galison puzzles  - they have a lot of choices in the 500 piece range.  They also provide a puzzle picture in the box and, even it isn't very large, it allows 2 people to each have an image they can look at close up.  The price of the 500 piece puzzles is very fair and their quality is consistent.  The artist's they feature have colorful and fun images.",5.0,0.35642856,1.0,1,Toys & Games
"Galison - Greenhouse Gardens - 500 Pieces - I didn’t realise it was random cut until I opened it up. Grey cardboard & lots of puzzle dust. Very unlike other Galison 500 piece puzzles I have done. I didn’t enjoy it to begin with as it wasn’t the hard, crisp pieces of two different shapes that I was used to from previous Galison 500 piece puzzles. By the end I liked it and the finished item is lovely but I didn’t enjoy the process as much as I have enjoyed other puzzles. Lovely image however.",3.0,0.14322917,1.0,0,Toys & Games
"Beautiful puzzle. Been here many times growing so caught my attention. Nicely cut, sharp colors, no dust, extra picture page for help.<br />Not for a beginner .",5.0,0.365,1.0,1,Toys & Games
———————,5.0,0.0,0.0,1,Toys & Games
only starting this puzzle but the entire bottom side is not depicted anywhere…not sure about other sides yet,4.0,0.075,1.0,0,Toys & Games
"I love Galison puzzles, but this one is a total fail. It's a nice-looking puzzle and the several extra-large pieces are a fun idea, but like another reviewer said, the large pieces were all slightly warped and didn't lay flat. When finished, it looked terrible. Galison needs to either figure out how to keep large pieces of cut carboard totally flat or redesign so that all of the pieces are a somewhat uniform size. Very unsatisfied.",1.0,-0.024007937,0.0,0,Toys & Games
This is a high quality puzzle (as all products from this company).  The artwork is cute. I appreciate a puzzle that represents people of color.,5.0,0.33,1.0,1,Toys & Games
"As a fan of Charley Harper's work, I really love these Pomegranate Puzzles! I really enjoy this brand of puzzle, for the pieces are crisply cut and the puzzles have a nice finish. This image in particular is quite nice. For serious puzzle people, it will be easy to put together. Nonetheless, it makes for a very fun project!",5.0,0.3587963,1.0,1,Toys & Games
"Beautiful puzzle. Interesting challenge. Not frustratingly difficult, but not too simple. Clever image.",5.0,0.35333332,1.0,1,Toys & Games
Great fun but challenging. Enjoyed the unusual subject matter. Love<br />all of Charley Harpers work. Have most of the puzzles and plan to<br />purchase others.,5.0,0.37619048,1.0,1,Toys & Games
"Great puzzle,  Happy recipient.",5.0,0.8,1.0,1,Toys & Games
I enjoy wildlife and birds... the the Charley Harper wildlife renditions are phenomenal and challenging... I truly enjoyable jigsaw puzzles and this puzzle is his best.  But then I say that about all Charley Harper art.,5.0,0.58,1.0,1,Toys & Games
It is so cute and pretty to look at. It is not that difficult to complete it but fun to work on. Great quality.,5.0,0.24166666,1.0,1,Toys & Games
"The picture was originally one of a series that Harper did for the US Park Service.  Most of these posters have sold out.  The artist has become very popular among certain groups of people.  This puzzle is now mounted, in a frame on my wall.  Buying the puzzle was the most affordable way to get the picture.",5.0,0.47385713,1.0,1,Toys & Games
Very happy with puzzle. Shipping was fast. Fun puzzles have been hard to find during the pandemic and I appreciate that it came quickly and in great condition!,5.0,0.4236111,1.0,1,Toys & Games
Well-made and a pleasure to assemble. An extended way to experience the great work of this graphic artist!,5.0,0.4,1.0,1,Toys & Games
"The print is clear and colorful. The pieces are sturdy and thick, holding together relatively tight. The surface is matte so looks high quality but it feels a pity if you glue it together.",5.0,-0.003095238,0.0,1,Toys & Games
Loved the puzzle.  It came quickly and was exactly as described and pictured. I'd recommend this puzzle to anyone looking to pass the time on a rainy day.  It would look great framed as well.,5.0,0.5208333,1.0,1,Toys & Games
"This puzzle offers the perfect balance between challenging your puzzling skills and not driving you to give up. This painting of<br />Charley Harper's adds frustrating fun because much of the image area is a reflection of the mountains surrounding a beaver pond...something extra to challenge the brain. Before we were done, our puzzle-shunning 14 year old son joined in, and suggested we get another Charley Harper puzzle after we finished.",5.0,0.225,1.0,1,Toys & Games
This is a beautiful puzzle and a chance to enjoy Charley Harper's whimsical scene.  This puzzle is both challenging and enjoyable. The colors are vivid and the pieces are sturdy!  I definitely recommend!,4.0,0.27232143,1.0,0,Toys & Games
Many pieces has light fixing on them which in the dark areas is distracting.  I'm a Charlie Harper fan so I'll buy the images I like but wasn't overly impressed with quality for the price.,3.0,0.4375,1.0,0,Toys & Games
"The box looks beautiful but unfortunately 3 pieces are missing, they are consecutive pieces from one of the corner. Must be an error at the production when they cut the picture....  so my puzzles sadly never be completed...",3.0,0.1,1.0,0,Toys & Games
Awesome. Loved it in person!,5.0,0.9375,1.0,1,Toys & Games
Excellent product - I ordered as a gift as the recipient loves these puzzles. It shipped quickly and arrived well ahead of time.,5.0,0.6666667,1.0,1,Toys & Games
"Excellent quality, buying from same manufacturer again",5.0,0.5,1.0,1,Toys & Games
Love Charlie Harper puzzles.  My go to when I need an &#34;easier&#34; puzzle.  Just enough challenge to keep it interesting. The art is gorgeous and there are so many hidden things within the picture.  And I think Pomegranent (sp?) is one of the best brands with high quality pieces.,5.0,0.39916667,1.0,1,Toys & Games
"We like the Charley Harper paintings, and Pomegranate is a quality puzzle maker.",5.0,0.0,0.0,1,Toys & Games
Raise your puzzle game by tackling this delightful Charley Harper puzzle. You'll find yourself checking bird guides and flower guides as you ponder each section of the Sierra Nevada puzzle.  Suitable for intermediate puzzlers who want a challenge and masters who want to practice a timed drill. Can be done in under three hours.,4.0,0.38333333,1.0,0,Toys & Games
"Challenging, high quality puzzle. The artwork makes for a perfect poster sized puzzle and I glued and framed it once I was done. Looking forward to being a repeat purchaser of Charley Harper Pomegranate puzzles.",5.0,0.55333334,1.0,1,Toys & Games
"I have never had an issue with a Pomegranate made puzzle before but this one was horrible which was a shame. Beautiful image, well printed matte finish so easy on the eyes, but the pieces were cut horribly with many many arriving with bits cut off because they were too thin to remain attached. Also missing an edge piece. The puzzle was new and sealed so not sure why it was a mess... maybe a second that slipped through or something. I am returning it. Again this is the first pomegranate puzzle I have found to be not well made.",1.0,-0.027331002,0.0,0,Toys & Games
"Right out of the sealed plastic packet, everyone locates the edge pieces first.  When I could only find three corner pieces, I became concerned.  Also, a very small piece fell out of the bag.  As it turns out, the small piece was actually cut off of a larger puzzle tile.  The knobs are too close together and the puzzle design is inherently weak.  The fourth corner was, indeed, missing - along with four other pieces all together in one corner.  I love this artist and the puzzle pieces fit together nicely but these are problems that should be avoided if the puzzle is to be acceptable.<br /><br />FOLLOW UP: The publisher has been very good in responding to my issue and has replaced the puzzle.  It may be a little while before I can do the puzzle to see if the replacement is better than the original but I am pleased that the publisher seems to care about customer service.  Thanks!",4.0,0.1554107,1.0,0,Toys & Games
"Awesome!  Make sure you have a really good full spectrum lamp for this one, because the dark brown, black, and navy are very close. The matte finish is high quality, as are the thick pieces. I glued and mounted this on black poster board and it looks great!  Just challenging enough to be fun.",5.0,0.28047618,1.0,1,Toys & Games
Cute book. My grandson loves it.,5.0,0.5,1.0,1,Toys & Games
Most products associated with Waitzkin are pretty good. This DVD is a snazzy introduction to the chess pieces and how they move. A few silly utterances by the protagonist.,5.0,0.15,1.0,1,All Electronics
"This was the missing piece on my collection. The extra strips are not so great (compared to the non web volumes -1 and 0, which were awesome), and you can almost feel they are out of place in the plot. Still, its great material and the author comments make it worth (although they are also spoilers).<br /><br />If you simply want to reat the comics, go to the website. If you want something to keep, its a good book.",4.0,0.425,1.0,0,Toys & Games
"Very much enjoy the series, great to share with my kids.",4.0,0.6,1.0,0,Toys & Games
"I bought this as a gift for my husband because I know he loves the webcomic and had a few volumes already, and he was thrilled! He's reread it endlessly and loves sharing bits with me.",5.0,0.14166667,1.0,1,Toys & Games
"I rated this 5 stars because I love the Order of the Stick books....but the main reason I'm posting this is the INSANE price...go to ookoodook dot com....it's only $29.95 NEW, not $120 from this ripoff seller!",5.0,-0.032575756,0.0,1,Toys & Games
"Volume two of the Order of the Stick series has great art, dialouge, and storytelling. It's very clever, and doesn't fall into so many of the ruts that many webcomics or gaming cartoons fall prey to. At nearly 250 pages, it's worth the money, and that's before you consider the additional material in the book that's not available on the website.<br /><br />Highly enjoyable for people who are currently part of the rollplaying scene, or people like me, who left D&D behind a long time ago back when ""Advanced"" was considered something kinda newfangled and sexy.... I reccomend this book to everyone.",5.0,0.21111111,1.0,1,Toys & Games
"Don't click on the New Paperback version, as you will be taken to Dungeon Crawlin Fools, rather than No Cure for the Paladin Blues.  And if you're like me, and you don't notice, you will order the wrong product which you will then wrap up and give to your husband on Christmas Day.  And he will look at you and wonder how you went from hanging on to his every word to not listening to him at all in 10 short years, and he will sigh gently.",4.0,-0.04090909,0.0,0,Toys & Games
I ordered this for $26 and I received ONlY the book and no reindeer. The only thing my niece wanted was the reindeer!,1.0,0.0,0.0,0,Toys & Games
IT WAS ONLY A BOOK!!!!,1.0,0.0,0.0,0,Toys & Games
Ordered an Elf on the Shelf Pets Reindeer that comes with the book and figurine. Only received the book. Not what they described.,1.0,0.0,0.0,0,Toys & Games
Where’s the plush reindeer? This order was to include the book and plush reindeer...there was NO reindeer.,1.0,0.0,0.0,0,Toys & Games
Box was tore up !,3.0,0.0,0.0,0,Toys & Games
"But it was just the book, NO REINDEER!!",3.0,0.0,0.0,0,Toys & Games
Bought as a gift for my daughter and she loves it!,4.0,0.0,0.0,0,Toys & Games
"Cute story; great marketing ploy.  You know all of us &#34;elf owners&#34; will gobble this up. LOL  The reindeer is soft and cuddly, and the bonus is that kids can actually touch something 'magical'.",4.0,0.45,1.0,0,Toys & Games
Kids loved it.Little pricey because I waited to last minute and paid 75.00 for 2.Don't let this happen to you next year,4.0,0.23333333,1.0,0,Toys & Games
Love this!,4.0,0.625,1.0,0,Toys & Games
My daughter loves it. A bit pricy for the size of the reindeer but I guess you're getting the book too.,4.0,0.0,0.0,0,Toys & Games
